,Clearsky DHI,Clearsky DNI,Clearsky GHI,Solar Zenith Angle,Precipitable Water
0,0,0,0,106.15,0.499
1,0,0,0,112.28,0.49
2,0,0,0,118.5,0.482
3,0,0,0,124.78,0.478
4,0,0,0,131.12,0.475
5,0,0,0,137.48,0.476
6,0,0,0,143.85,0.477
7,0,0,0,150.17,0.481
8,0,0,0,156.39,0.486
9,0,0,0,162.35,0.49
10,0,0,0,167.63,0.495
11,0,0,0,170.91,0.501
12,0,0,0,169.98,0.507
13,0,0,0,165.64,0.514
14,0,0,0,160.0,0.521
15,0,0,0,153.91,0.527
16,0,0,0,147.64,0.534
17,0,0,0,141.29,0.537
18,0,0,0,134.92,0.541
19,0,0,0,128.56,0.544
20,0,0,0,122.24,0.547
21,0,0,0,115.98,0.551
22,0,0,0,109.79,0.555
23,0,0,0,103.7,0.556
24,0,0,0,97.74,0.557
25,0,0,0,91.92,0.551
26,22,389,47,86.3,0.546
27,38,618,136,80.91,0.535
28,50,746,233,75.8,0.524
29,57,827,326,71.05,0.515
30,67,867,410,66.72,0.506
31,71,905,484,62.9,0.507
32,79,919,543,59.71,0.509
33,81,937,588,57.24,0.524
34,90,926,614,55.59,0.54
35,91,929,626,54.83,0.5660000000000001
36,96,913,619,55.01,0.5920000000000001
37,94,903,598,56.12,0.625
38,99,864,556,58.09,0.6579999999999999
39,95,838,504,60.85,0.693
40,95,783,434,64.29,0.7290000000000001
41,87,729,356,68.31,0.767
42,77,649,269,72.82,0.805
43,63,537,177,77.71,0.848
44,42,370,87,82.94,0.8909999999999999
45,13,98,15,88.42,0.948
46,0,0,0,94.12,1.004
47,0,0,0,100.0,1.067
48,0,0,0,106.01,1.129
49,0,0,0,112.14,1.183
50,0,0,0,118.36,1.238
51,0,0,0,124.65,1.285
52,0,0,0,130.99,1.3330000000000002
53,0,0,0,137.35,1.3869999999999998
54,0,0,0,143.71,1.4409999999999998
55,0,0,0,150.04,1.506
56,0,0,0,156.25,1.571
57,0,0,0,162.21,1.635
58,0,0,0,167.49,1.7
59,0,0,0,170.8,1.763
60,0,0,0,169.95,1.827
61,0,0,0,165.66,1.883
62,0,0,0,160.05,1.94
63,0,0,0,153.97,1.991
64,0,0,0,147.7,2.043
65,0,0,0,141.35,2.088
66,0,0,0,134.99,2.134
67,0,0,0,128.63,2.176
68,0,0,0,122.3,2.219
69,0,0,0,116.04,2.256
70,0,0,0,109.85,2.294
71,0,0,0,103.75,2.3040000000000003
72,0,0,0,97.78,2.314
73,0,0,0,91.96,2.281
74,26,51,30,86.33,2.248
75,69,213,102,80.93,2.194
76,95,377,188,75.82,2.14
77,116,480,272,71.05,2.102
78,122,587,354,66.71,2.066
79,133,639,424,62.88,2.05
80,128,711,487,59.67,2.035
81,132,735,531,57.18,2.051
82,122,783,566,55.52,2.068
83,123,788,578,54.75,2.111
84,106,829,583,54.91,2.155
85,104,820,563,56.0,2.196
86,97,815,530,57.97,2.238
87,94,790,480,60.72,2.27
88,85,765,419,64.16,2.302
89,79,714,344,68.17,2.34
90,69,647,262,72.68,2.379
91,57,540,173,77.57,2.444
92,39,377,87,82.79,2.51
93,14,105,17,88.28,2.573
94,0,0,0,93.98,2.636
95,0,0,0,99.86,2.665
96,0,0,0,105.88,2.694
97,0,0,0,112.01,2.707
98,0,0,0,118.23,2.721
99,0,0,0,124.52,2.735
100,0,0,0,130.85,2.749
101,0,0,0,137.22,2.756
102,0,0,0,143.58,2.763
103,0,0,0,149.9,2.7510000000000003
104,0,0,0,156.11,2.739
105,0,0,0,162.07,2.72
106,0,0,0,167.35,2.702
107,0,0,0,170.69,2.695
108,0,0,0,169.91,2.688
109,0,0,0,165.68,2.6860000000000004
110,0,0,0,160.09,2.685
111,0,0,0,154.02,2.676
112,0,0,0,147.76,2.667
113,0,0,0,141.41,2.656
114,0,0,0,135.05,2.6460000000000004
115,0,0,0,128.69,2.64
116,0,0,0,122.36,2.635
117,0,0,0,116.09,2.631
118,0,0,0,109.9,2.627
119,0,0,0,103.8,2.612
120,0,0,0,97.82,2.597
121,0,0,0,92.0,2.5810000000000004
122,23,250,38,86.36,2.5660000000000003
123,43,478,118,80.95,2.5860000000000003
124,55,618,207,75.82,2.6060000000000003
125,65,704,293,71.05,2.649
126,76,746,371,66.69,2.693
127,81,787,441,62.85,2.7310000000000003
128,82,827,500,59.63,2.769
129,84,845,543,57.12,2.804
130,84,863,573,55.44,2.84
131,84,867,586,54.65,2.888
132,83,868,583,54.8,2.9360000000000004
133,82,861,564,55.88,2.977
134,81,842,529,57.84,3.02
135,78,819,481,60.58,3.065
136,76,779,417,64.02,3.11
137,70,732,344,68.03,3.159
138,65,649,260,72.53,3.209
139,54,547,173,77.43,3.262
140,40,364,86,82.65,3.3160000000000003
141,14,109,18,88.13,3.333
142,0,0,0,93.84,3.35
143,0,0,0,99.72,3.327
144,0,0,0,105.73,3.305
145,0,0,0,111.87,3.275
146,0,0,0,118.09,3.245
147,0,0,0,124.38,3.225
148,0,0,0,130.72,3.205
149,0,0,0,137.08,3.205
150,0,0,0,143.44,3.2060000000000004
151,0,0,0,149.76,3.224
152,0,0,0,155.97,3.2430000000000003
153,0,0,0,161.92,3.256
154,0,0,0,167.2,3.269
155,0,0,0,170.56,3.255
156,0,0,0,169.86,3.242
157,0,0,0,165.69,3.205
158,0,0,0,160.13,3.168
159,0,0,0,154.07,3.115
160,0,0,0,147.81,3.062
161,0,0,0,141.47,3.012
162,0,0,0,135.1,2.963
163,0,0,0,128.74,2.9330000000000003
164,0,0,0,122.41,2.904
165,0,0,0,116.14,2.888
166,0,0,0,109.94,2.873
167,0,0,0,103.84,2.857
168,0,0,0,97.86,2.842
169,0,0,0,92.03,2.8310000000000004
170,22,259,38,86.38,2.821
171,41,483,117,80.96,2.8110000000000004
172,54,624,206,75.83,2.802
173,63,709,293,71.04,2.799
174,69,771,374,66.67,2.797
175,73,811,444,62.81,2.801
176,77,838,502,59.57,2.806
177,80,857,546,57.05,2.8160000000000003
178,82,867,575,55.35,2.826
179,83,872,589,54.55,2.8360000000000003
180,82,874,587,54.69,2.846
181,81,867,569,55.76,2.855
182,78,855,535,57.7,2.865
183,75,834,487,60.44,2.869
184,71,803,425,63.87,2.873
185,66,759,352,67.88,2.87
186,59,695,269,72.38,2.8680000000000003
187,49,599,181,77.28,2.858
188,36,447,94,82.5,2.849
189,14,183,21,87.99,2.845
190,0,0,0,93.69,2.842
191,0,0,0,99.57,2.839
192,0,0,0,105.59,2.8360000000000003
193,0,0,0,111.73,2.8280000000000003
194,0,0,0,117.95,2.82
195,0,0,0,124.24,2.8160000000000003
196,0,0,0,130.58,2.812
197,0,0,0,136.94,2.813
198,0,0,0,143.3,2.815
199,0,0,0,149.62,2.81
200,0,0,0,155.83,2.805
201,0,0,0,161.78,2.799
202,0,0,0,167.05,2.793
203,0,0,0,170.43,2.794
204,0,0,0,169.81,2.7960000000000003
205,0,0,0,165.69,2.807
206,0,0,0,160.15,2.819
207,0,0,0,154.11,2.838
208,0,0,0,147.86,2.857
209,0,0,0,141.52,2.887
210,0,0,0,135.15,2.918
211,0,0,0,128.79,2.952
212,0,0,0,122.46,2.987
213,0,0,0,116.19,3.01
214,0,0,0,109.98,3.033
215,0,0,0,103.87,3.03
216,0,0,0,97.89,3.027
217,0,0,0,92.05,3.009
218,22,236,37,86.39,2.991
219,43,461,116,80.97,2.991
220,59,588,203,75.82,2.992
221,69,677,289,71.02,3.0210000000000004
222,88,693,363,66.64,3.051
223,95,737,432,62.77,3.082
224,102,761,489,59.51,3.114
225,106,783,533,56.98,3.137
226,106,800,563,55.26,3.161
227,107,806,576,54.44,3.192
228,98,828,578,54.57,3.2230000000000003
229,97,820,560,55.62,3.258
230,93,807,527,57.56,3.293
231,90,784,478,60.29,3.315
232,85,749,417,63.72,3.337
233,79,701,345,67.73,3.344
234,70,632,263,72.23,3.352
235,58,532,177,77.13,3.362
236,41,375,91,82.35,3.372
237,16,128,20,87.84,3.389
238,0,0,0,93.54,3.408
239,0,0,0,99.43,3.432
240,0,0,0,105.45,3.457
241,0,0,0,111.58,3.478
242,0,0,0,117.81,3.5
243,0,0,0,124.1,3.504
244,0,0,0,130.44,3.509
245,0,0,0,136.8,3.4960000000000004
246,0,0,0,143.16,3.484
247,0,0,0,149.48,3.446
248,0,0,0,155.69,3.409
249,0,0,0,161.63,3.347
250,0,0,0,166.9,3.286
251,0,0,0,170.29,3.195
252,0,0,0,169.74,3.1060000000000003
253,0,0,0,165.68,3.0380000000000003
254,0,0,0,160.18,2.972
255,0,0,0,154.15,2.959
256,0,0,0,147.9,2.946
257,0,0,0,141.57,2.951
258,0,0,0,135.2,2.957
259,0,0,0,128.84,2.958
260,0,0,0,122.51,2.96
261,0,0,0,116.23,2.966
262,0,0,0,110.02,2.972
263,0,0,0,103.9,2.985
264,0,0,0,97.91,2.998
265,0,0,0,92.07,3.0
266,24,179,35,86.4,3.003
267,50,392,111,80.97,2.979
268,68,529,198,75.81,2.955
269,81,623,284,71.0,2.914
270,87,702,366,66.6,2.873
271,94,748,436,62.72,2.841
272,93,795,498,59.45,2.809
273,97,816,542,56.89,2.8110000000000004
274,95,837,574,55.16,2.813
275,96,842,588,54.33,2.822
276,97,840,586,54.44,2.8310000000000004
277,96,833,568,55.48,2.82
278,96,812,534,57.41,2.81
279,92,789,486,60.14,2.819
280,88,753,424,63.56,2.8280000000000003
281,81,704,350,67.57,2.891
282,70,644,269,72.07,2.954
283,59,544,181,76.97,3.014
284,42,385,94,82.19,3.075
285,17,137,22,87.68,3.11
286,0,0,0,93.39,3.145
287,0,0,0,99.28,3.1710000000000003
288,0,0,0,105.3,3.197
289,0,0,0,111.44,3.214
290,0,0,0,117.66,3.232
291,0,0,0,123.96,3.23
292,0,0,0,130.3,3.228
293,0,0,0,136.66,3.219
294,0,0,0,143.02,3.2110000000000003
295,0,0,0,149.34,3.208
296,0,0,0,155.54,3.2060000000000004
297,0,0,0,161.47,3.2110000000000003
298,0,0,0,166.74,3.217
299,0,0,0,170.15,3.234
300,0,0,0,169.66,3.252
301,0,0,0,165.67,3.283
302,0,0,0,160.19,3.314
303,0,0,0,154.18,3.415
304,0,0,0,147.94,3.517
305,0,0,0,141.61,3.687
306,0,0,0,135.24,3.858
307,0,0,0,128.88,3.88
308,0,0,0,122.54,3.903
309,0,0,0,116.26,3.54
310,0,0,0,110.05,3.178
311,0,0,0,103.93,2.628
312,0,0,0,97.93,2.0780000000000003
313,0,0,0,92.08,1.743
314,22,290,41,86.41,1.41
315,42,527,125,80.96,1.3019999999999998
316,55,673,220,75.8,1.195
317,64,760,312,70.97,1.183
318,71,818,396,66.56,1.172
319,76,858,470,62.66,1.193
320,78,889,531,59.37,1.214
321,81,908,578,56.8,1.208
322,81,923,610,55.05,1.202
323,81,932,627,54.21,1.12
324,77,944,629,54.3,1.039
325,76,942,612,55.33,0.94
326,71,943,582,57.26,0.8420000000000001
327,69,927,533,59.98,0.782
328,63,909,470,63.4,0.722
329,59,870,393,67.41,0.711
330,52,817,306,71.91,0.701
331,44,727,210,76.81,0.743
332,33,582,114,82.03,0.7859999999999999
333,16,314,29,87.53,0.823
334,0,0,0,93.24,0.861
335,0,0,0,99.12,0.865
336,0,0,0,105.15,0.8690000000000001
337,0,0,0,111.29,0.867
338,0,0,0,117.52,0.866
339,0,0,0,123.81,0.8590000000000001
340,0,0,0,130.15,0.852
341,0,0,0,136.52,0.851
342,0,0,0,142.88,0.85
343,0,0,0,149.19,0.857
344,0,0,0,155.39,0.865
345,0,0,0,161.32,0.877
346,0,0,0,166.57,0.889
347,0,0,0,170.0,0.909
348,0,0,0,169.57,0.929
349,0,0,0,165.64,0.947
350,0,0,0,160.2,0.966
351,0,0,0,154.2,0.968
352,0,0,0,147.97,0.97
353,0,0,0,141.64,0.969
354,0,0,0,135.28,0.968
355,0,0,0,128.91,0.976
356,0,0,0,122.58,0.984
357,0,0,0,116.29,0.989
358,0,0,0,110.07,0.995
359,0,0,0,103.95,1.008
360,0,0,0,97.94,1.022
361,0,0,0,92.08,1.047
362,21,325,42,86.4,1.071
363,39,561,127,80.95,1.109
364,52,689,221,75.77,1.148
365,60,772,312,70.93,1.197
366,66,828,396,66.51,1.246
367,71,866,469,62.6,1.283
368,73,895,530,59.29,1.321
369,76,913,577,56.71,1.334
370,77,926,608,54.94,1.348
371,77,931,624,54.08,1.346
372,75,935,623,54.16,1.344
373,74,930,605,55.18,1.338
374,73,918,571,57.1,1.3330000000000002
375,70,898,522,59.81,1.321
376,67,871,459,63.23,1.31
377,62,832,384,67.24,1.276
378,56,773,298,71.74,1.242
379,48,685,206,76.64,1.198
380,35,551,113,81.87,1.155
381,17,292,30,87.37,1.12
382,0,0,0,93.08,1.085
383,0,0,0,98.97,1.06
384,0,0,0,105.0,1.035
385,0,0,0,111.14,1.012
386,0,0,0,117.37,0.989
387,0,0,0,123.67,0.968
388,0,0,0,130.01,0.948
389,0,0,0,136.37,0.932
390,0,0,0,142.73,0.917
391,0,0,0,149.05,0.903
392,0,0,0,155.24,0.889
393,0,0,0,161.16,0.879
394,0,0,0,166.4,0.8690000000000001
395,0,0,0,169.84,0.862
396,0,0,0,169.48,0.856
397,0,0,0,165.61,0.8490000000000001
398,0,0,0,160.21,0.843
399,0,0,0,154.22,0.8390000000000001
400,0,0,0,148.0,0.836
401,0,0,0,141.68,0.838
402,0,0,0,135.31,0.84
403,0,0,0,128.95,0.848
404,0,0,0,122.61,0.857
405,0,0,0,116.32,0.8690000000000001
406,0,0,0,110.1,0.8809999999999999
407,0,0,0,103.97,0.894
408,0,0,0,97.95,0.908
409,0,0,0,92.09,0.922
410,19,404,44,86.4,0.937
411,34,627,132,80.93,0.955
412,43,750,228,75.74,0.973
413,49,827,320,70.89,0.999
414,54,876,405,66.46,1.026
415,58,911,478,62.53,1.058
416,61,933,539,59.2,1.091
417,63,949,586,56.6,1.12
418,65,957,617,54.82,1.149
419,66,961,632,53.94,1.17
420,67,958,630,54.01,1.192
421,67,951,612,55.02,1.209
422,66,938,578,56.93,1.227
423,64,918,528,59.64,1.242
424,61,889,465,63.06,1.258
425,57,850,389,67.07,1.259
426,52,792,303,71.57,1.261
427,45,708,210,76.48,1.252
428,34,568,116,81.71,1.244
429,17,320,32,87.21,1.233
430,0,0,0,92.92,1.223
431,0,0,0,98.82,1.212
432,0,0,0,104.85,1.202
433,0,0,0,110.99,1.1909999999999998
434,0,0,0,117.22,1.181
435,0,0,0,123.52,1.1740000000000002
436,0,0,0,129.86,1.168
437,0,0,0,136.23,1.172
438,0,0,0,142.59,1.176
439,0,0,0,148.9,1.182
440,0,0,0,155.09,1.19
441,0,0,0,161.0,1.196
442,0,0,0,166.23,1.202
443,0,0,0,169.67,1.206
444,0,0,0,169.37,1.212
445,0,0,0,165.57,1.214
446,0,0,0,160.2,1.218
447,0,0,0,154.24,1.217
448,0,0,0,148.02,1.217
449,0,0,0,141.7,1.222
450,0,0,0,135.34,1.228
451,0,0,0,128.97,1.243
452,0,0,0,122.63,1.259
453,0,0,0,116.34,1.291
454,0,0,0,110.11,1.325
455,0,0,0,103.98,1.3730000000000002
456,0,0,0,97.96,1.421
457,0,0,0,92.08,1.487
458,23,280,40,86.38,1.554
459,43,512,124,80.91,1.619
460,60,626,214,75.71,1.685
461,70,713,304,70.84,1.7480000000000002
462,78,768,386,66.39,1.811
463,84,809,458,62.45,1.879
464,88,836,518,59.11,1.947
465,91,854,563,56.49,2.033
466,95,860,592,54.69,2.12
467,96,863,606,53.79,2.219
468,100,851,602,53.85,2.319
469,99,841,583,54.85,2.424
470,103,807,545,56.75,2.529
471,99,781,496,59.47,2.633
472,101,723,431,62.88,2.737
473,93,672,357,66.89,2.8280000000000003
474,85,589,273,71.4,2.919
475,71,487,186,76.3,3.008
476,51,329,99,81.54,3.097
477,21,110,26,87.04,3.179
478,0,0,0,92.76,3.261
479,0,0,0,98.66,3.319
480,0,0,0,104.69,3.378
481,0,0,0,110.84,3.425
482,0,0,0,117.07,3.4730000000000003
483,0,0,0,123.37,3.494
484,0,0,0,129.72,3.515
485,0,0,0,136.08,3.4930000000000003
486,0,0,0,142.44,3.471
487,0,0,0,148.75,3.4410000000000003
488,0,0,0,154.93,3.411
489,0,0,0,160.83,3.407
490,0,0,0,166.06,3.404
491,0,0,0,169.5,3.439
492,0,0,0,169.26,3.474
493,0,0,0,165.53,3.52
494,0,0,0,160.19,3.567
495,0,0,0,154.24,3.573
496,0,0,0,148.04,3.58
497,0,0,0,141.72,3.5380000000000003
498,0,0,0,135.36,3.497
499,0,0,0,128.99,3.408
500,0,0,0,122.65,3.32
501,0,0,0,116.35,3.199
502,0,0,0,110.12,3.079
503,0,0,0,103.98,2.977
504,0,0,0,97.95,2.877
505,0,0,0,92.07,2.8360000000000003
506,25,101,31,86.36,2.795
507,61,282,106,80.88,2.795
508,88,414,191,75.67,2.795
509,108,510,276,70.79,2.8
510,126,564,353,66.32,2.805
511,138,616,424,62.36,2.787
512,151,640,481,59.01,2.769
513,158,666,527,56.37,2.727
514,165,677,557,54.55,2.685
515,167,686,573,53.64,2.622
516,157,709,577,53.69,2.559
517,155,702,561,54.68,2.487
518,145,702,533,56.58,2.416
519,140,679,487,59.28,2.32
520,125,664,430,62.7,2.225
521,115,616,359,66.71,2.108
522,95,577,281,71.22,1.992
523,78,480,194,76.13,1.891
524,53,365,108,81.37,1.791
525,22,144,30,86.88,1.7380000000000002
